Stock Price,Maturity,Dividends,Volatility,Risk-free,Strike Price,Call Price
146.7891749,1,0,0.992652582,0.028573689,100,74.76932501
125.8188148,1,0,0.995701698,0.02648213,100,58.06277245
60.06401823,1,0,0.984954682,0.02931359,100,14.26887304
108.2253816,1,0,0.048973789,0.029928091,100,11.19667321
99.26767836,1,0,0.120461726,0.020081106,100,5.391775811
68.50330071,1,0,0.240823135,0.028811034,100,0.639655064
128.3557927,1,0,0.952990491,0.020200282,100,58.15048166
90.78153335,1,0,0.388282326,0.023590803,100,11.31410723
51.90621476,1,0,0.337010976,0.021806278,100,0.275824418
120.8108477,1,0,0.049073506,0.020907193,100,22.87987371
96.01460046,1,0,0.4535061,0.024388122,100,16.58782358
137.9470058,1,0,0.601084261,0.025108705,100,52.3434748
50.26068202,1,0,0.723874523,0.022757433,100,4.726845923
92.85304713,1,0,0.366502098,0.025406437,100,11.63960538
85.60914393,1,0,0.643728843,0.029253092,100,17.73571053
100.1477495,1,0,0.99518471,0.029088087,100,39.12819592
93.47394268,1,0,0.826817393,0.021620618,100,28.53084844
112.1475472,1,0,0.058283705,0.027136185,100,14.83968052
54.87242552,1,0,0.463376449,0.026874446,100,1.727748066
88.8352451,1,0,0.404473165,0.026252811,100,11.01765629
51.36971259,1,0,0.529982823,0.021967898,100,1.99409254
119.4465702,1,0,0.296007532,0.022400945,100,26.3922587
123.6804823,1,0,0.19185567,0.024751374,100,27.21767038
50.82121328,1,0,0.713356302,0.025873881,100,4.737917603
61.04150778,1,0,0.700659781,0.022602739,100,7.831849832
99.38131615,1,0,0.346047012,0.026043489,100,14.5156505
99.08252336,1,0,0.768274112,0.021849077,100,30.0775161
129.9008386,1,0,0.261345867,0.020892478,100,34.05696083
52.92238664,1,0,0.951600636,0.022553461,100,10.07977213
130.9773385,1,0,0.601632924,0.025266517,100,46.81149262
62.02697605,1,0,0.282430631,0.028009775,100,0.515851911
90.87585931,1,0,0.913021539,0.023532959,100,29.87999105
119.0443238,1,0,0.066323255,0.023075944,100,21.32846646
61.06782423,1,0,0.513277497,0.025824153,100,3.822266772
85.43918065,1,0,0.842281516,0.023532036,100,24.11578553
92.15197512,1,0,0.365562141,0.025303926,100,11.23968698
54.02290232,1,0,0.206359383,0.020476865,100,0.008532187
70.31195484,1,0,0.927759742,0.023321963,100,18.03719307
65.13611505,1,0,0.700586178,0.021301747,100,9.411306478
78.88005358,1,0,0.161020388,0.022668973,100,0.599072364
88.70399126,1,0,0.084257419,0.025187571,100,0.512729706
59.73231156,1,0,0.989937098,0.028238669,100,14.20458421
107.4369694,1,0,0.182294309,0.029345115,100,13.70105933
106.189532,1,0,0.223800887,0.029379404,100,14.30899188
116.6552344,1,0,0.029501701,0.024572959,100,19.08258462
130.5160443,1,0,0.423467456,0.02903656,100,40.13373617
125.0314173,1,0,0.870710017,0.024516692,100,52.60934054
75.75486239,1,0,0.70049351,0.027539723,100,14.35381811
105.6520461,1,0,0.392724208,0.025561443,100,20.22560566
121.9024329,1,0,0.716357941,0.020440844,100,44.07630071
119.3840761,1,0,0.156939008,0.020449873,100,22.24868781
134.6850769,1,0,0.216713911,0.023099106,100,37.72673892
103.8357301,1,0,0.383335178,0.026265486,100,18.71764203
67.73147599,1,0,0.351989464,0.020024177,100,2.148860812
